pick,net,sta,chan,ptime,stime,source,lat,lon,elv,ptime0,stime0,predict,prob,std
2024T000000013,KS,JEJB,HH,2024-06-11T23:27:26.515809Z,2024-06-11T23:27:54.735589Z,add,35.6374,129.4411,46.4,,,D,1.0,0.0
2024T000000013,KS,JESA,HG,2024-06-11T23:27:28.182754Z,2024-06-11T23:27:57.733596Z,add,37.4303,128.6653,434.0,,,D,0.9996,0.0014
2024T000000013,KS,JEU2,EL,2024-06-11T23:26:55.221369Z,2024-06-11T23:26:59.132169Z,original,35.49345,126.929807,198.0,2024-06-11T23:26:55.221369Z,,U,1.0,0.0
2024T000000013,KS,JGJA,HG,2024-06-11T23:27:32.794865Z,2024-06-11T23:28:06.028263Z,add,37.704719,128.913415,78.0,,,U,0.8815,0.1101
2024T000000013,KS,JGNA,HG,2024-06-11T23:27:10.753595Z,2024-06-11T23:27:26.008918Z,add,35.8754,128.0485,413.0,,,D,0.9929,0.0225
2024T000000013,KS,JHCB,HH,2024-06-11T23:27:32.548811Z,2024-06-11T23:28:05.585757Z,add,38.232183,127.688756,468.0,,,U,0.9997,0.0005
2024T000000013,KS,JINA,HG,2024-06-11T23:27:12.619054Z,2024-06-11T23:27:29.249490Z,add,35.1642,128.0402,73.0,,,D,0.8737,0.1514
2024T000000013,KS,JJBA,HG,2024-06-11T23:27:29.762336Z,2024-06-11T23:28:00.574443Z,add,37.647925,128.564524,575.0,,,D,0.735,0.1288
2024T000000013,KS,JJU2,HH,2024-06-11T23:27:27.387423Z,2024-06-11T23:27:56.303194Z,add,33.4305,126.5463,569.0,,,U,0.9894,0.0237
2024T000000013,KS,JKJA,HG,2024-06-11T23:27:24.861146Z,2024-06-11T23:27:51.759631Z,add,36.2421,129.2151,424.0,,,U,0.7894,0.1026
2024T000000013,KS,JLSA,HG,2024-06-11T23:27:05.773527Z,2024-06-11T23:27:17.351576Z,add,35.3574,127.648,541.0,,,D,0.9999,0.0002
2024T000000013,KS,JMJ2,EL,2024-06-11T23:27:33.579475Z,2024-06-11T23:28:07.439298Z,add,37.8816,128.7561,108.0,,,D,1.0,0.0
2024T000000013,KS,JNHA,HG,2024-06-11T23:27:20.285098Z,2024-06-11T23:27:43.529303Z,add,35.1121,128.7536,47.0,,,D,0.9697,0.0303
2024T000000013,KS,JNPA,HG,2024-06-11T23:27:13.853863Z,2024-06-11T23:27:31.890487Z,add,36.7956,127.5621,128.0,,,D,0.9942,0.0238
2024T000000013,KS,JNUA,HG,2024-06-11T23:27:10.294367Z,2024-06-11T23:27:25.155377Z,add,36.6908,127.2005,126.0,,,U,1.0,1e-04
2024T000000013,KS,JNYA,HG,2024-06-11T23:27:19.192374Z,2024-06-11T23:27:41.563932Z,add,35.2822,128.7175,74.0,,,D,1.0,0.0
2024T000000013,KS,JODB,HH,2024-06-11T23:27:16.681092Z,2024-06-11T23:27:37.047109Z,add,34.3115,126.0437,60.0,,,U,1.0,0.0
2024T000000013,KS,JOGB,HH,2024-06-11T23:27:32.446700Z,2024-06-11T23:28:05.402121Z,add,37.621027,128.980129,70.0,,,D,0.5561,0.2069
