net,sta,start,end,lat,lon,elv,digitizer,vel,acc,chan
KS,NHPA,2021-11-13,,35.060394,126.527374,37.0,Centaur,,Titan-PH-A,HG
KS,NHSB,2021-11-04,,34.687072,125.450413,111.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,NJDA,2018-03-09,,37.0503,126.4221,59.0,q330sp,,ES-DH-A,HG
KS,NLDA,2018-03-09,,34.5326,127.4673,127.0,q330sp,,ES-DH-A,HG
KS,NOSA,2019-03-18,,36.2836,127.1272,108.0,q330sp,,ES-DH-A,HG
KS,NPGA,2021-11-13,,34.786946,126.147751,29.0,Centaur,,Titan-PH-A,HG
KS,NSJA,2021-11-13,,34.381934,126.515861,45.0,Centaur,,Titan-PH-A,HG
KS,NYSA,2021-11-04,,34.378096,126.88675,35.0,Centaur,,Titan-PH-A,HG
KS,OADB,2021-11-13,,36.524538,128.831413,135.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,OGSB,2021-11-09,,35.7685,128.8971,281.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,OHBA,2021-11-13,,36.138884,128.994749,405.0,Centaur,,Titan-PH-A,HG
KS,OJSA,2021-11-13,,36.786901,128.571418,196.0,Centaur,,Titan-PH-A,HG
KS,OKCB,2012-12-05,,36.34626,127.79412,118.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,OOJB,2021-11-10,,36.701999,129.408396,103.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,OPHB,2021-11-13,,36.190497,129.339183,76.0,Centaur,Trilium120PH-A,Titan-PH-A,HH
KS,OPSA,2021-11-13,,36.580989,128.560634,119.0,Centaur,,Titan-PH-A,HG
KS,OSBA,2021-11-08,,36.276214,128.466333,101.0,Centaur,,Titan-PH-A,HG
KS,OUJA,2021-11-13,,37.11573,129.370242,42.0,Centaur,,Titan-PH-A,HG
KS,OWSA,2021-11-13,,35.863047,129.209289,68.0,Centaur,,Titan-PH-A,HG
KS,OYDB,2015-09-30,,36.2294,126.0757,65.0,q330hrs,3ESPC,ES-DH-A,HH
KS,PGEA,2019-03-18,,36.7559,128.692,210.0,q330sp,,ES-DH-A,HG
KS,PHDA,2021-11-10,,35.1287,127.745,337.0,q330sp,,ES-DH-A,HG
KS,PMYA,2021-11-12,,35.501783,128.760554,121.0,Centaur,,Titan-PH-A,HG
KS,PORA,2012-12-31,,36.327826,126.557519,40.0,Centaur,,Titan-PH-A,HG
KS,PTYC,2021-11-13,,34.85075,128.4375733,81.0,q330hrs,CMG-40T-1-A,ES-T-A,EL
KS,PUAA,2016-05-31,,35.7295,126.7167,54.8,q330hrs,,ES-DH-A,HG
KS,PUYA,2022-11-29,,36.56179,128.306132,76.0,Centaur,,Titan-PH-A,HG
KS,PYCB,2019-03-18,,37.3774,128.3946,356.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,PYSB,2019-03-18,,33.3536,126.8167,124.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,SACA,2016-12-16,,35.4131,127.8789,181.3,q330sp,,ES-DH-A,HG
KS,SAJB,2019-03-18,,36.4079,128.1575,155.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,SCHA,2016-05-31,,35.0199,127.3692,195.0,q330hrs,,ES-DH-A,HG
KS,SECA,2018-03-09,,36.142,126.7519,56.0,q330sp,,ES-DH-A,HG
KS,SEJA,2022-11-29,,35.947423,128.21703,59.0,Centaur,,Titan-PH-A,HG
KS,SENA,2022-11-29,,35.538485,126.742386,31.0,Centaur,,Titan-PH-A,HG
KS,SEO3,2020-03-18,,37.4939,126.917,113.0,q330hrs,STS-2.5-A,ES-T-A,HH
KS,SESA,2019-03-18,,37.7196,128.1735,330.0,q330sp,,ES-DH-A,HG
KS,SGMA,2018-03-09,,37.8282,127.288,308.0,q330sp,,ES-DH-A,HG
KS,SGNA,2019-03-18,,37.4461,127.1832,225.0,q330sp,,ES-DH-A,HG
KS,SGP2,2016-12-16,,33.2587,126.4993,239.3,q330hrs,STS-2.5-A,ES-T-A,HH
KS,SH2B,2019-03-18,,38.2685,128.2524,432.0,q330hrs,STS-5A-A,ES-DH-A,HH
KS,SIJA,2019-03-18,,34.8954483,126.588043,59.0,q330sp,,ES-DH-A,HG
